csv,60.0007519722,1,1335.0332682,96.8792877306,652.304462957,1401.98640547, ru, 1, 1000 
csv,60.0018799305,2,1603.46642658,97.4482970245,1081.32710653,2417.77301143, ru, 2, 1000 
csv,60.0005159378,4,2614.91084781,97.1110070816,1282.33706186,3361.99162361, ru, 4, 1000 
csv,60.0031681061,8,3272.54387056,96.3074354501,1968.17131345,5889.97101924, ru, 8, 1000 
csv,60.0010762215,16,3565.10271933,98.2545562245,3629.55897155,11538.0711824, ru, 16, 1000 
csv,60.1417858601,32,2814.3826722,97.189120753,7019.28119954,47370.7393808, ru, 32, 1000 
csv,60.0010170937,64,1526.84078433,99.3491960804,3701.47888158,385006.208648, ru, 64, 1000 
csv,60.0012228489,1,744.634823736,96.8734377072,1188.83980908,2317.26364553, ru-exi, 1, 1000 
csv,60.0052249432,2,990.763721931,94.3277935442,1773.38453255,3114.60702316, ru-exi, 2, 1000 
csv,60.0313019753,4,1984.6646013,89.4445424319,1636.16661039,3327.78904647, ru-exi, 4, 1000 
csv,60.0225758553,8,1881.50872219,80.1512391534,2927.02539324,7690.0656303, ru-exi, 8, 1000 
csv,60.0076301098,16,2134.9451689,60.3790049134,3836.96439272,10745.0474392, ru-exi, 16, 1000 
csv,60.4481921196,32,2352.39458806,33.9302978298,3832.4548845,11779.4064394, ru-exi, 32, 1000 
csv,60.6789541245,64,2536.57964645,15.4597296631,3405.7642402,8397.00478558, ru-exi, 64, 1000 
csv,60.0015490055,1,1010.4572466,97.3336622047,868.928425482,1822.64587055, rc, 1, 1000 
csv,60.0009388924,2,1213.53101042,98.1076230692,1430.79085395,3307.6351039, rc, 2, 1000 
csv,60.0010070801,4,2252.4288604,97.7182659032,1484.09018122,4025.70356152, rc, 4, 1000 
csv,60.0018980503,8,3208.8318246,96.7385703891,2017.51732323,6005.91238975, rc, 8, 1000 
csv,60.0012738705,16,3367.39517291,98.4382841259,3717.71671909,13320.0130822, rc, 16, 1000 
csv,60.0022079945,32,2412.57788402,98.7667919278,3754.36518728,97013.5011211, rc, 32, 1000 
csv,60.0033149719,64,1450.56985669,99.7012278602,3209.38625617,411608.523733, rc, 64, 1000 
csv,60.0009660721,1,1148.21484569,97.0673675657,785.677962854,1387.23722968, rr, 1, 1000 
csv,60.0024697781,2,1293.66341564,97.6571586509,1411.53814328,2384.934737, rr, 2, 1000 
csv,60.003554821,4,2531.33335938,97.173840356,1426.25548234,2538.4583316, rr, 4, 1000 
csv,60.009791851,8,3493.62984828,96.5228108393,1935.89004193,4690.90148483, rr, 8, 1000 
csv,60.0019431114,16,3667.43122954,97.640882837,2652.45024507,18758.4198182, rr, 16, 1000 
csv,60.0096468925,32,2915.79786019,99.0002309264,3356.82031225,79866.4619813, rr, 32, 1000 
csv,60.4909498692,64,2510.12755343,95.1953953522,5004.26897496,198200.209487, rr, 64, 1000 
csv,60.0008130074,1,805.589084169,97.8878458438,1159.9643585,1706.50241657, s, 1, 1000 
csv,60.0009438992,2,627.423462925,98.9080990268,3163.26818487,3057.36145262, s, 2, 1000 
csv,60.0012869835,4,1014.11158092,99.0509860626,3970.80134347,3335.4271781, s, 4, 1000 
csv,60.0019989014,8,763.374568159,99.6274582978,10812.8980518,7054.07756692, s, 8, 1000 
csv,60.0038809776,16,658.02410372,99.8783733888,25119.4448792,16570.5596648, s, 16, 1000 
csv,60.0004649162,32,572.345565121,99.9964033843,57566.9572404,41203.5395927, s, 32, 1000 
